##
## Configuration for Draw.io CSV Import
#
# label: %name%<br><i style="color:gray;">%summary%</i><br><small>Updated: %upload_time%<br>Depth: %depth%</small>
# style: shape=rectangle;html=1;whiteSpace=wrap;rounded=1;fillColor=%color%;strokeColor=#000000;strokeWidth=1;fontColor=#000000;
# connect: {"from": "target_node", "to": "source_name", "style":"endArrow=classic;endFill=1;html=1;fontSize=10;"}
# identity: pythonpackage_id
# namespace: csvimport-
# layout: auto
# nodespacing: 30
# edgespacing: 40
#
## ---- CSV starts below ----
pythonpackage_id,name,summary,upload_time,depth,color,source_name,target_node
sqlalchemy,sqlalchemy,Database Abstraction Library,2023-04-06T00:53:19,3,#FF33A8,sqlalchemy,cx_oracle
sqlalchemy,sqlalchemy,Database Abstraction Library,2023-04-06T00:53:19,3,#FF33A8,sqlalchemy,oracledb
sqlalchemy,sqlalchemy,Database Abstraction Library,2023-04-06T00:53:19,3,#FF33A8,sqlalchemy,psycopg2
sqlalchemy,sqlalchemy,Database Abstraction Library,2023-04-06T00:53:19,3,#FF33A8,sqlalchemy,pg8000
sqlalchemy,sqlalchemy,Database Abstraction Library,2023-04-06T00:53:19,3,#FF33A8,sqlalchemy,asyncpg
sqlalchemy,sqlalchemy,Database Abstraction Library,2023-04-06T00:53:19,3,#FF33A8,sqlalchemy,psycopg2-binary
sqlalchemy,sqlalchemy,Database Abstraction Library,2023-04-06T00:53:19,3,#FF33A8,sqlalchemy,psycopg2cffi
sqlalchemy,sqlalchemy,Database Abstraction Library,2023-04-06T00:53:19,3,#FF33A8,sqlalchemy,psycopg
sqlalchemy,sqlalchemy,Database Abstraction Library,2023-04-06T00:53:19,3,#FF33A8,sqlalchemy,pymysql
sqlalchemy,sqlalchemy,Database Abstraction Library,2023-04-06T00:53:19,3,#FF33A8,sqlalchemy,aiomysql
sqlalchemy,sqlalchemy,Database Abstraction Library,2023-04-06T00:53:19,3,#FF33A8,sqlalchemy,aioodbc
sqlalchemy,sqlalchemy,Database Abstraction Library,2023-04-06T00:53:19,3,#FF33A8,sqlalchemy,asyncmy
sqlalchemy,sqlalchemy,Database Abstraction Library,2023-04-06T00:53:19,3,#FF33A8,sqlalchemy,aiosqlite
sqlalchemy,sqlalchemy,Database Abstraction Library,2023-04-06T00:53:19,3,#FF33A8,sqlalchemy,sqlcipher3_binary
pandas,pandas,"Powerful data structures for data analysis, time series, and statistics",2025-06-05T03:25:48,2,#33FF57,pandas,psycopg2
pandas,pandas,"Powerful data structures for data analysis, time series, and statistics",2025-06-05T03:25:48,2,#33FF57,pandas,pymysql
pymysql,pymysql,Pure Python MySQL Driver,2024-05-21T11:03:41,3,#FF33A8,pymysql,pynacl
pymysql,pymysql,Pure Python MySQL Driver,2024-05-21T11:03:41,3,#FF33A8,pymysql,cryptography
networkx,networkx,Python package for creating and manipulating graphs and networks,2025-05-09T15:49:39,1,#33C1FF,networkx,pillow
pillow,pillow,Python Imaging Library (Fork),2023-04-01T09:28:03,2,#33FF57,pillow,olefile
pillow,pillow,Python Imaging Library (Fork),2023-04-01T09:28:03,2,#33FF57,pillow,sphinx-inline-tabs
pillow,pillow,Python Imaging Library (Fork),2023-04-01T09:28:03,2,#33FF57,pillow,defusedxml
pillow,pillow,Python Imaging Library (Fork),2023-04-01T09:28:03,2,#33FF57,pillow,pyroma
pyroma,pyroma,Test your project's packaging friendliness,2023-02-25T12:57:36,3,#FF33A8,pyroma,requests
pyroma,pyroma,Test your project's packaging friendliness,2023-02-25T12:57:36,3,#FF33A8,pyroma,trove-classifiers
pyroma,pyroma,Test your project's packaging friendliness,2023-02-25T12:57:36,3,#FF33A8,pyroma,zest.releaser
pillow,pillow,Python Imaging Library (Fork),2023-04-01T09:28:03,2,#33FF57,pillow,trove-classifiers
networkx,networkx,Python package for creating and manipulating graphs and networks,2025-05-09T15:49:39,1,#33C1FF,networkx,texext
networkx,networkx,Python package for creating and manipulating graphs and networks,2025-05-09T15:49:39,1,#33C1FF,networkx,intersphinx-registry
networkx,networkx,Python package for creating and manipulating graphs and networks,2025-05-09T15:49:39,1,#33C1FF,networkx,osmnx
osmnx,osmnx,"Download, model, analyze, and visualize street networks and other geospatial features from OpenStreetMap",2025-05-06T17:47:29,2,#33FF57,osmnx,geopandas
geopandas,geopandas,Geographic pandas extensions,2025-06-01T16:54:29,3,#FF33A8,geopandas,pyogrio
geopandas,geopandas,Geographic pandas extensions,2025-06-01T16:54:29,3,#FF33A8,geopandas,pyproj
geopandas,geopandas,Geographic pandas extensions,2025-06-01T16:54:29,3,#FF33A8,geopandas,shapely
